/ d 1 755 0 0 4096 5 18 21 31
Library d 1 755 0 0 4096 5 18 21 31 /
Users d 1 755 0 0 4096 5 18 21 31 /
bin d 1 755 0 0 4096 5 28 5 2 /
test d 1 755 0 0 4096 5 28 17 32 /bin
dir1_ d 1 755 0 0 4096 5 28 17 32 /bin/test
dir2_ d 1 755 0 0 4096 5 28 17 32 /bin/test
dir3_ d 1 755 0 0 4096 5 28 17 32 /bin/test
jang99u d 1 755 100 20 4096 5 18 21 31 /Users
dir1 d 1 600 100 20 4096 5 23 19 9 /Users/jang99u
dir2 d 1 600 100 20 4096 5 23 19 9 /Users/jang99u
dir3 d 1 705 100 20 4096 5 23 19 9 /Users/jang99u
dir4 d 1 705 100 20 4096 5 23 19 9 /Users/jang99u
